"age","gender","theta","group"
18,"chłopiec",-2.89980378056285,"mowa"
19,"chłopiec",-2.84302758281682,"mowa"
20,"chłopiec",-2.83081499673199,"mowa"
21,"chłopiec",-2.94024174989481,"mowa"
22,"chłopiec",-2.43824100678309,"mowa"
23,"chłopiec",-2.45156709578186,"mowa"
24,"chłopiec",-2.56176728915718,"mowa"
25,"chłopiec",-2.27422487948518,"mowa"
26,"chłopiec",-2.15410224425165,"mowa"
27,"chłopiec",-2.08335615117952,"mowa"
28,"chłopiec",-2.11059507583834,"mowa"
29,"chłopiec",-2.00036120533913,"mowa"
30,"chłopiec",-1.80898640347121,"mowa"
31,"chłopiec",-1.72448126451629,"mowa"
32,"chłopiec",-1.72768968698509,"mowa"
33,"chłopiec",-1.55248734001208,"mowa"
34,"chłopiec",-1.37279968515373,"mowa"
35,"chłopiec",-1.29276473659008,"mowa"
36,"chłopiec",-1.23972275922782,"mowa"
18,"dziewczynka",-2.56188203858956,"mowa"
19,"dziewczynka",-2.80416156740268,"mowa"
20,"dziewczynka",-2.714130250876,"mowa"
21,"dziewczynka",-2.5339615611952,"mowa"
22,"dziewczynka",-2.39218382253914,"mowa"
23,"dziewczynka",-2.33747764911371,"mowa"
24,"dziewczynka",-2.39737705218853,"mowa"
25,"dziewczynka",-2.05469416953105,"mowa"
26,"dziewczynka",-1.76926257577757,"mowa"
27,"dziewczynka",-1.66883670289565,"mowa"
28,"dziewczynka",-1.8614605079699,"mowa"
29,"dziewczynka",-1.51611826937504,"mowa"
30,"dziewczynka",-1.56814492796332,"mowa"
31,"dziewczynka",-1.42030587674573,"mowa"
32,"dziewczynka",-1.42767490867331,"mowa"
33,"dziewczynka",-1.2252148672513,"mowa"
34,"dziewczynka",-1.15943188062526,"mowa"
35,"dziewczynka",-1.20930063248423,"mowa"
36,"dziewczynka",-1.15814827588799,"mowa"
