"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_18",11.4806464603581,18.1127099964477,26.0000000002615,36.7196494366656,45.0000000003653,56.5705001544215,66.0367169808043,114.634367501725,180.00000000013
"m_19",11.9708387432271,19.366874685689,27.9739727936584,40.094011667147,60.5228758173428,88.7612471331927,111.830525506239,167.999999999999,246.857142857314
"m_20",13.0000000012117,22.0000000008138,32.1183389827614,46.5207951882702,78.039215686611,121.063079433714,156.151619845827,218.73851008799,308.619047619229
"m_21",14.5681302343118,26.0120859418221,38.4330985675724,56.0000000000351,97.5490196081698,153.475997055985,198.999999999569,266.849897765699,365.285714285881
"m_22",16.6752294425266,31.4031325087143,46.9182515480953,68.5316261024416,119.052287582019,186.000000000006,240.375665967464,312.334163033126,416.857142857274
"m_23",19.3212976258565,38.1731397014914,57.5737979243433,84.1156734954895,142.549019608158,218.635088265776,280.278617749513,355.191305890269,463.333333333416
"m_24",22.5063347843016,46.3235896155419,70.4153280679438,102.752142179179,168.039215686587,251.381261853297,318.708855345711,395.421326337131,504.71428571431
"m_25",26.2303409178615,56.0580210121364,85.5493976305729,124.441032153509,195.522875817306,284.238520762567,355.666378756051,433.02422437371,540.999999999963
"m_26",30.493316026536,67.5915078329118,102.999999999972,149.182343418481,225.000000000313,317.206864993587,391.151187980521,468.000000000006,572.19047619038
"m_27",35.295260110325,80.9263332711269,122.767135176159,176.976075974093,256.470588235607,350.286294546357,425.163283019101,500.34865321602,598.285714285571
"m_28",40.6361731692283,96.0624973267837,144.85080315914,207.822229820345,289.934640523187,383.476809420875,457.702663871773,530.070184021751,619.285714285547
"m_29",46.5160552032452,112.999999999883,169.251003948918,241.720804957237,325.392156863053,416.778409617143,488.769330538525,557.164592417199,635.190476190327
"m_30",52.9349062123762,131.738841290426,195.967737545494,278.671801384768,362.843137255202,450.191095135161,518.363283019351,581.631878402364,645.999999999937
"m_31",59.8927261966211,152.279021198412,225.001003948871,318.675219102939,402.287581699635,483.714865974928,546.484521314247,603.472041977246,652.024732634229
"m_32",67.3895151559786,174.620539723842,256.350803159046,361.731058111748,443.72549019635,517.349722136444,573.13304542321,622.685083141845,656.461609998555
"m_33",75.4252730904482,198.763396866714,290.017135176021,407.839318411196,487.156862745347,551.095663619709,598.30885534624,639.271001896162,660.935011003752
"m_34",84.000000000029,224.707592627028,325.999999999793,457.000000001281,532.581699346626,584.952690424724,622.011951083338,653.229798240195,665.447807670773
"m_35",93.1136958847198,252.453127004785,364.29939763036,509.213102882003,580.000000000186,618.920802551488,644.242332634504,664.561472173946,669.999999999635
"m_36",102.76636074452,281.999999999982,404.915328067721,564.478627053363,629.411764706027,653.000000000001,664.99999999974,673.266023697414,674.591587990349
